loan_id,account_id,amount,duration,payments,status,year,month,day,fulldate,location,purpose
L00007072,A00010148,22104,12,1842,C,2018,1,27,2018-01-27,1,debt_consolidation
L00005147,A00000938,22260,60,371,C,2018,5,21,2018-05-21,64,debt_consolidation
L00006052,A00005164,22356,36,621,C,2018,3,23,2018-03-23,1,car
L00005382,A00002134,22932,36,637,C,2017,3,17,2017-03-17,59,car
L00006354,A00006688,22968,36,638,C,2016,10,23,2016-10-23,1,car
L00005754,A00003834,23052,12,1921,A,2014,9,28,2014-09-28,1,home_improvement
L00006878,A00009242,23184,12,1932,A,2017,1,24,2017-01-24,1,debt_consolidation
L00005384,A00002142,23328,12,1944,C,2018,3,7,2018-03-07,59,car
L00007139,A00010445,23412,12,1951,C,2018,1,22,2018-01-22,1,debt_consolidation
L00005229,A00001329,23520,12,1960,A,2017,9,6,2017-09-06,64,home_improvement
L00005723,A00003674,23628,12,1969,A,2014,9,10,2014-09-10,1,debt_consolidation
L00007187,A00010711,24180,60,403,C,2017,12,24,2017-12-24,1,car
L00005130,A00000813,24312,12,2026,A,2014,5,11,2014-05-11,64,debt_consolidation
L00005479,A00002486,24516,12,2043,A,2014,1,10,2014-01-10,59,home_improvement
L00005584,A00002986,24792,24,1033,C,2017,12,6,2017-12-06,18,debt_consolidation
L00006407,A00006930,25944,24,1081,A,2014,5,26,2014-05-26,1,home_improvement
L00006242,A00006097,26208,36,728,C,2017,10,22,2017-10-22,1,debt_consolidation
L00005005,A00000176,27456,12,2288,A,2017,4,10,2017-04-10,1,debt_consolidation
L00006578,A00007765,27984,12,2332,A,2015,12,11,2015-12-11,1,debt_consolidation
L00006227,A00006030,28248,24,1177,A,2015,3,4,2015-03-04,1,debt_consolidation
L00006865,A00009199,29448,12,2454,B,2016,9,11,2016-09-11,1,debt_consolidation
L00006676,A00008159,29784,24,1241,A,2015,6,13,2015-06-13,1,debt_consolidation
L00005620,A00003161,30012,12,2501,C,2018,6,16,2018-06-16,18,home_improvement
L00005311,A00001766,30060,60,501,C,2016,6,15,2016-06-15,64,debt_consolidation
L00006501,A00007418,30276,12,2523,B,2016,4,29,2016-04-29,1,home_improvement
L00004961,A00000019,30276,12,2523,B,2016,4,29,2016-04-29,1,debt_consolidation
L00006502,A00007424,30276,12,2523,A,2017,12,8,2017-12-08,1,debt_consolidation
L00004962,A00000025,30276,12,2523,A,2017,12,8,2017-12-08,1,debt_consolidation
L00007200,A00010799,31140,60,519,C,2018,7,11,2018-07-11,1,debt_consolidation
L00006185,A00005774,31176,24,1299,A,2015,11,28,2015-11-28,1,debt_consolidation
L00005576,A00002962,31248,12,2604,A,2014,12,21,2014-12-21,18,debt_consolidation
L00007110,A00010345,31260,12,2605,C,2018,1,21,2018-01-21,1,home_improvement
L00006970,A00009677,31620,60,527,C,2017,6,17,2017-06-17,1,debt_consolidation
L00006546,A00007607,31728,24,1322,A,2015,3,27,2015-03-27,1,home_improvement
L00006130,A00005541,32640,48,680,C,2016,7,18,2016-07-18,1,debt_consolidation
L00006758,A00008742,33144,12,2762,A,2017,7,29,2017-07-29,1,debt_consolidation
L00005932,A00004626,33348,12,2779,A,2017,6,18,2017-06-18,1,debt_consolidation
L00006764,A00008776,33984,48,708,C,2015,8,26,2015-08-26,1,debt_consolidation
L00006310,A00006440,34572,12,2881,A,2017,6,17,2017-06-17,1,debt_consolidation
L00006643,A00008038,35856,24,1494,C,2018,1,18,2018-01-18,1,debt_consolidation
L00005207,A00001244,35904,48,748,C,2017,2,28,2017-02-28,64,home_improvement
L00007008,A00009897,36168,12,3014,A,2015,9,22,2015-09-22,1,debt_consolidation
L00006682,A00008225,36204,12,3017,D,2018,3,30,2018-03-30,1,home_improvement
L00006929,A00009472,36396,12,3033,A,2015,5,8,2015-05-08,1,debt_consolidation
L00006306,A00006425,36684,12,3057,A,2014,12,20,2014-12-20,1,debt_consolidation
L00007096,A00010257,37812,12,3151,C,2018,9,2,2018-09-02,1,home_improvement
L00006362,A00006738,37908,12,3159,A,2015,10,31,2015-10-31,1,debt_consolidation
L00005332,A00001869,37944,36,1054,C,2018,1,29,2018-01-29,64,home_improvement
L00006820,A00009034,38148,12,3179,A,2013,12,16,2013-12-16,1,debt_consolidation
L00006321,A00006505,38496,12,3208,C,2018,10,8,2018-10-08,1,home_improvement
L00005358,A00002018,38520,12,3210,A,2017,1,21,2017-01-21,59,debt_consolidation
L00005634,A00003229,39024,12,3252,A,2017,5,1,2017-05-01,59,home_improvement
L00007294,A00011327,39168,24,1632,C,2018,9,27,2018-09-27,1,debt_consolidation
L00006888,A00009265,39576,12,3298,A,2014,7,11,2014-07-11,1,home_improvement
L00006887,A00009263,39576,12,3298,A,2017,5,8,2017-05-08,1,debt_consolidation
L00005665,A00003390,40632,12,3386,C,2018,3,11,2018-03-11,1,home_improvement
L00005582,A00002982,41256,12,3438,C,2018,4,17,2018-04-17,18,debt_consolidation
L00005808,A00004099,41856,48,872,C,2017,7,31,2017-07-31,1,debt_consolidation
L00006895,A00009307,41904,12,3492,A,2014,9,19,2014-09-19,1,debt_consolidation
L00006535,A00007546,41952,12,3496,A,2015,11,2,2015-11-02,1,home_improvement
L00005841,A00004268,41988,12,3499,C,2018,11,4,2018-11-04,1,debt_consolidation
L00006553,A00007636,42384,12,3532,C,2018,1,26,2018-01-26,1,home_improvement
L00005046,A00000349,42816,12,3568,C,2018,9,9,2018-09-09,70,debt_consolidation
L00006727,A00008505,42840,12,3570,A,2017,12,10,2017-12-10,1,debt_consolidation
L00006621,A00007957,42900,12,3575,A,2017,6,14,2017-06-14,1,debt_consolidation
L00006315,A00006472,43164,12,3597,A,2015,2,6,2015-02-06,1,debt_consolidation
L00005313,A00001776,43200,24,1800,C,2018,5,27,2018-05-27,64,debt_consolidation
L00005693,A00003489,44088,24,1837,A,2015,8,1,2015-08-01,1,debt_consolidation
L00007087,A00010215,44304,24,1846,C,2017,2,20,2017-02-20,1,home_improvement
L00006144,A00005593,44376,12,3698,A,2016,8,9,2016-08-09,1,debt_consolidation
L00006137,A00005574,44628,12,3719,A,2016,4,10,2016-04-10,1,home_improvement
L00006923,A00009433,44640,24,1860,C,2018,10,5,2018-10-05,1,debt_consolidation
L00005368,A00002073,44640,24,1860,C,2018,10,5,2018-10-05,59,debt_consolidation
L00007264,A00011141,44940,12,3745,A,2017,10,7,2017-10-07,1,debt_consolidation
L00005343,A00001906,44952,24,1873,C,2017,10,8,2017-10-08,64,debt_consolidation
L00006805,A00008972,45024,48,938,C,2016,12,21,2016-12-21,1,debt_consolidation
L00005237,A00001375,45336,24,1889,A,2015,8,29,2015-08-29,64,debt_consolidation
L00006569,A00007721,45456,12,3788,C,2018,5,28,2018-05-28,1,home_improvement
L00007172,A00010652,45720,12,3810,C,2018,5,7,2018-05-07,1,debt_consolidation
L00007198,A00010788,45768,12,3814,A,2014,8,23,2014-08-23,1,home_improvement
L00007199,A00010789,45768,12,3814,A,2017,12,9,2017-12-09,1,home
L00006944,A00009548,46176,48,962,C,2016,11,15,2016-11-15,1,home
L00005445,A00002322,46320,24,1930,A,2016,6,29,2016-06-29,59,home
L00006456,A00007123,47016,12,3918,A,2013,12,9,2013-12-09,1,home
L00006745,A00008625,47304,24,1971,A,2015,4,10,2015-04-10,1,home_improvement
L00007242,A00011027,48096,24,2004,C,2017,10,23,2017-10-23,1,debt_consolidation
L00005446,A00002334,48312,24,2013,C,2017,8,4,2017-08-04,59,home_improvement
L00005131,A00000816,48624,24,2026,A,2015,1,8,2015-01-08,64,home
L00006460,A00007133,48672,36,1352,A,2014,11,6,2014-11-06,1,debt_consolidation
L00005586,A00002994,48744,36,1354,C,2016,9,14,2016-09-14,18,debt_consolidation
L00006495,A00007274,49044,12,4087,C,2018,3,12,2018-03-12,1,home_improvement
L00006650,A00008073,49320,12,4110,B,2014,2,17,2014-02-17,1,debt_consolidation
L00006399,A00006902,49320,36,1370,C,2017,12,21,2017-12-21,1,home_improvement
L00005452,A00002352,49440,60,824,C,2016,4,29,2016-04-29,59,home
L00006464,A00007156,49488,24,2062,C,2018,4,16,2018-04-16,1,home
L00006470,A00007181,49872,12,4156,C,2018,5,17,2018-05-17,1,home
L00006819,A00009031,50112,24,2088,C,2017,5,3,2017-05-03,1,home
L00005549,A00002824,50460,60,841,C,2014,7,16,2014-07-16,25,home_improvement
L00005172,A00001083,50976,36,1416,C,2018,4,16,2018-04-16,64,debt_consolidation
L00005856,A00004320,51360,12,4280,B,2017,8,9,2017-08-09,1,home_improvement
L00005861,A00004337,51408,24,2142,A,2014,12,8,2014-12-08,1,home
L00006577,A00007753,51696,24,2154,A,2014,3,11,2014-03-11,1,debt_consolidation
L00006903,A00009337,52128,24,2172,A,2014,6,4,2014-06-04,1,debt_consolidation
L00006855,A00009153,52236,36,1451,C,2018,3,1,2018-03-01,1,home_improvement
L00005221,A00001284,52512,12,4376,C,2018,12,5,2018-12-05,64,debt_consolidation
L00007284,A00011265,52788,12,4399,A,2013,9,15,2013-09-15,1,home_improvement
L00005134,A00000825,53076,12,4423,A,2017,2,2,2017-02-02,64,home
L00006037,A00005118,53232,48,1109,C,2017,5,4,2017-05-04,1,home
L00005398,A00002187,53472,12,4456,A,2017,11,4,2017-11-04,59,home
L00007305,A00011359,54024,12,4502,A,2016,8,6,2016-08-06,1,home
L00007136,A00010436,54396,36,1511,C,2016,9,28,2016-09-28,1,home_improvement
L00006509,A00007445,55368,24,2307,A,2014,3,15,2014-03-15,1,debt_consolidation
L00005346,A00001928,55632,24,2318,C,2018,12,6,2018-12-06,64,home_improvement
L00006659,A00008092,56100,60,935,C,2016,2,20,2016-02-20,1,home
L00006044,A00005133,57060,12,4755,C,2018,1,27,2018-01-27,1,home
L00007219,A00010905,57120,48,1190,C,2017,8,23,2017-08-23,1,home
L00005338,A00001888,57360,12,4780,B,2017,8,30,2017-08-30,64,home
L00006054,A00005180,58764,12,4897,C,2018,7,16,2018-07-16,1,home
L00005977,A00004803,59136,48,1232,C,2017,2,25,2017-02-25,1,home
L00006959,A00009633,59448,24,2477,D,2017,6,30,2017-06-30,1,home
L00006956,A00009631,59448,24,2477,C,2017,11,9,2017-11-09,1,home
L00006253,A00006148,59760,24,2490,A,2014,11,4,2014-11-04,1,home
L00007138,A00010440,60000,60,1000,C,2015,7,3,2015-07-03,1,home
L00006342,A00006609,60156,36,1671,B,2015,11,12,2015-11-12,1,home
L00006223,A00005991,61056,48,1272,A,2014,11,3,2014-11-03,1,home
L00005909,A00004550,61320,60,1022,C,2018,1,3,2018-01-03,1,home
L00005388,A00002153,61560,12,5130,A,2016,11,28,2016-11-28,59,home
L00006027,A00005066,61656,24,2569,B,2016,2,10,2016-02-10,1,home
L00005750,A00003804,63252,12,5271,A,2016,2,8,2016-02-08,1,home
L00006512,A00007454,63312,48,1319,A,2014,5,26,2014-05-26,1,home
L00006474,A00007190,63360,60,1056,C,2015,6,6,2015-06-06,1,home_improvement
L00005782,A00003953,63576,12,5298,C,2018,1,4,2018-01-04,1,debt_consolidation
L00006437,A00007052,63972,36,1777,D,2017,11,9,2017-11-09,1,home_improvement
L00005287,A00001638,64224,24,2676,C,2018,1,26,2018-01-26,64,home
L00005923,A00004585,64656,48,1347,C,2016,10,10,2016-10-10,1,debt_consolidation
L00006357,A00006706,64860,60,1081,C,2018,7,12,2018-07-12,1,debt_consolidation
L00006202,A00005891,65184,12,5432,A,2014,4,18,2014-04-18,1,home_improvement
L00005531,A00002753,66432,24,2768,C,2017,9,30,2017-09-30,29,debt_consolidation
L00005892,A00004462,66480,24,2770,B,2016,5,14,2016-05-14,1,home_improvement
L00005931,A00004618,66696,24,2779,D,2017,3,17,2017-03-17,1,home
L00005930,A00004616,66696,24,2779,C,2018,1,12,2018-01-12,1,home
L00005039,A00000314,66840,24,2785,C,2017,5,3,2017-05-03,70,home
L00007286,A00011271,67320,36,1870,C,2017,1,31,2017-01-31,1,home
L00005682,A00003455,67464,12,5622,A,2017,3,7,2017-03-07,1,home
L00007201,A00010807,67464,12,5622,A,2017,3,7,2017-03-07,1,home
L00006249,A00006138,67608,24,2817,C,2017,7,30,2017-07-30,1,home
L00006753,A00008688,67980,12,5665,A,2017,3,20,2017-03-20,1,home
L00006598,A00007857,68112,12,5676,A,2015,1,18,2015-01-18,1,home
L00005638,A00003249,68124,12,5677,A,2017,8,27,2017-08-27,59,home
L00006095,A00005358,68340,60,1139,C,2017,1,24,2017-01-24,1,home
L00005352,A00001993,68400,12,5700,B,2015,4,15,2015-04-15,59,home
L00005741,A00003754,68544,24,2856,A,2016,11,3,2016-11-03,1,home
L00005681,A00003448,68664,24,2861,C,2017,10,20,2017-10-20,1,home
L00007194,A00010762,68832,36,1912,C,2016,9,17,2016-09-17,1,home
L00007249,A00011065,69360,48,1445,A,2014,6,12,2014-06-12,1,home
L00006857,A00009159,69600,48,1450,C,2018,6,8,2018-06-08,1,home
L00005526,A00002725,69624,36,1934,C,2018,11,8,2018-11-08,1,home
L00006817,A00009024,70656,48,1472,C,2016,10,4,2016-10-04,1,home
L00005212,A00001256,71064,36,1974,A,2015,5,29,2015-05-29,64,home
L00006624,A00007965,71460,12,5955,A,2014,9,30,2014-09-30,1,home
L00005385,A00002143,71460,36,1985,C,2016,9,9,2016-09-09,59,home
L00005669,A00003403,71820,36,1995,C,2018,6,27,2018-06-27,1,home
L00006824,A00009052,71976,24,2999,D,2017,2,26,2017-02-26,1,home
L00006599,A00007859,72120,12,6010,A,2016,11,19,2016-11-19,1,home
L00006303,A00006400,72408,24,3017,B,2016,2,12,2016-02-12,1,home
L00005420,A00002247,72504,24,3021,C,2017,2,24,2017-02-24,59,home
L00005125,A00000789,73056,48,1522,C,2015,11,23,2015-11-23,64,home
L00006490,A00007262,73260,60,1221,C,2017,2,10,2017-02-10,1,home
L00005880,A00004423,73836,36,2051,A,2015,10,31,2015-10-31,1,home
L00005878,A00004415,74040,12,6170,A,2017,4,1,2017-04-01,1,home
L00006461,A00007136,74124,36,2059,C,2016,9,19,2016-09-19,1,home
L00006766,A00008784,74352,24,3098,C,2018,4,28,2018-04-28,1,home
L00006729,A00008519,74688,12,6224,A,2014,8,11,2014-08-11,1,home
L00006668,A00008129,74736,36,2076,A,2014,7,30,2014-07-30,1,home
L00005214,A00001270,74772,36,2077,C,2017,7,1,2017-07-01,64,home
L00005760,A00003862,74916,36,2081,C,2018,9,18,2018-09-18,1,home
L00007097,A00010266,75624,24,3151,B,2013,12,23,2013-12-23,1,home
L00005992,A00004863,76080,12,6340,A,2017,3,18,2017-03-18,1,home
L00006790,A00008919,76104,24,3171,C,2018,6,8,2018-06-08,1,home
L00005739,A00003747,76380,12,6365,A,2015,1,2,2015-01-02,1,home
L00006960,A00009640,76416,24,3184,A,2015,1,11,2015-01-11,1,home
L00006737,A00008564,76680,24,3195,A,2015,3,11,2015-03-11,1,home
L00006316,A00006473,76908,12,6409,B,2014,5,26,2014-05-26,1,home
L00005117,A00000718,76944,12,6412,A,2017,8,20,2017-08-20,64,home
L00006322,A00006510,76992,24,3208,C,2017,5,6,2017-05-06,1,home
L00005635,A00003230,77184,36,2144,C,2016,10,4,2016-10-04,59,home
L00006574,A00007745,77544,36,2154,C,2017,12,20,2017-12-20,1,home_improvement
L00006642,A00008027,77640,12,6470,A,2014,6,5,2014-06-05,1,debt_consolidation
L00007051,A00010068,77808,12,6484,A,2017,7,28,2017-07-28,1,home_improvement
L00005389,A00002165,78600,24,3275,C,2017,8,22,2017-08-22,59,home
L00006113,A00005445,78696,36,2186,C,2017,10,1,2017-10-01,1,debt_consolidation
L00006215,A00005944,78720,48,1640,C,2018,6,18,2018-06-18,1,debt_consolidation
L00005285,A00001603,78936,12,6578,A,2014,2,6,2014-02-06,64,home_improvement
L00006605,A00007890,79344,48,1653,C,2017,10,14,2017-10-14,1,debt_consolidation
L00006077,A00005270,79608,24,3317,A,2013,11,22,2013-11-22,1,home_improvement
L00005836,A00004259,79632,24,3318,A,2014,8,27,2014-08-27,1,home
L00006059,A00005196,79824,12,6652,A,2017,12,28,2017-12-28,1,home
L00006294,A00006353,79920,60,1332,C,2015,2,12,2015-02-12,1,home
L00006678,A00008173,80340,12,6695,A,2014,5,20,2014-05-20,1,home
L00004959,A00000002,80952,24,3373,A,2014,1,5,2014-01-05,1,home
L00006499,A00007401,80952,24,3373,A,2014,1,5,2014-01-05,1,home
L00005906,A00004533,81144,36,2254,C,2018,5,5,2018-05-05,1,home
L00006868,A00009208,82128,24,3422,C,2018,10,12,2018-10-12,1,home
L00005595,A00003050,82896,12,6908,A,2014,9,2,2014-09-02,18,home
L00006150,A00005622,83016,12,6918,A,2014,11,2,2014-11-02,1,home
L00006875,A00009235,83280,48,1735,C,2017,3,13,2017-03-13,1,home
L00006922,A00009424,83628,36,2323,C,2017,8,26,2017-08-26,1,home
L00005367,A00002064,83628,36,2323,C,2017,8,26,2017-08-26,59,home
L00006613,A00007926,84120,24,3505,A,2016,9,22,2016-09-22,1,home
L00005790,A00004033,84288,48,1756,C,2017,3,20,2017-03-20,1,home
L00005061,A00000440,84288,48,1756,C,2018,3,13,2018-03-13,70,home
L00005784,A00003967,84600,36,2350,D,2017,3,29,2017-03-29,1,home
L00006283,A00006289,85632,48,1784,C,2016,8,11,2016-08-11,1,home
L00006751,A00008680,85716,36,2381,C,2016,7,14,2016-07-14,1,home
L00006726,A00008492,85860,60,1431,C,2015,9,3,2015-09-03,1,home
L00006921,A00009422,86184,12,7182,A,2016,10,29,2016-10-29,1,home
L00005893,A00004467,86184,36,2394,C,2018,8,3,2018-08-03,1,home
L00005366,A00002062,86184,12,7182,A,2016,10,29,2016-10-29,59,home
L00006876,A00009236,86616,12,7218,A,2013,12,21,2013-12-21,1,home
L00007119,A00010361,86880,12,7240,A,2017,6,2,2017-06-02,1,home
L00006210,A00005927,87216,48,1817,B,2014,6,6,2014-06-06,1,home
L00005138,A00000854,87216,48,1817,C,2015,5,30,2015-05-30,64,home
L00006279,A00006273,87360,24,3640,A,2014,6,7,2014-06-07,1,home
L00006278,A00006265,87360,24,3640,C,2017,6,10,2017-06-10,1,home
L00005933,A00004631,87528,24,3647,C,2017,12,13,2017-12-13,1,home
L00005882,A00004427,87816,12,7318,A,2014,9,26,2014-09-26,1,home
L00006687,A00008261,87840,24,3660,A,2013,9,13,2013-09-13,1,home
L00006969,A00009673,88200,36,2450,C,2018,9,12,2018-09-12,1,home
L00006763,A00008772,88272,48,1839,C,2017,6,19,2017-06-19,1,home
L00004996,A00000132,88440,12,7370,A,2016,11,6,2016-11-06,1,home
L00005585,A00002988,88608,12,7384,C,2018,7,8,2018-07-08,18,home
L00007115,A00010351,88704,48,1848,C,2017,3,4,2017-03-04,1,home
L00006696,A00008321,89040,60,1484,C,2014,5,9,2014-05-09,1,home
L00007277,A00011231,89280,12,7440,A,2017,10,24,2017-10-24,1,home
L00007013,A00009928,89340,60,1489,C,2016,8,2,2016-08-02,1,home
L00005495,A00002580,89340,60,1489,C,2016,8,2,2016-08-02,46,home
L00007263,A00011138,89880,24,3745,A,2016,1,19,2016-01-19,1,home
L00005868,A00004361,90156,12,7513,A,2017,3,29,2017-03-29,1,home
L00006088,A00005317,90180,36,2505,C,2017,3,7,2017-03-07,1,home
L00005088,A00000544,91152,24,3798,A,2016,8,22,2016-08-22,64,home
L00006520,A00007485,91200,24,3800,A,2014,3,16,2014-03-16,1,home
L00005036,A00000309,91248,48,1901,C,2018,11,25,2018-11-25,70,home
L00006596,A00007844,91584,24,3816,A,2014,6,25,2014-06-25,1,home
L00005519,A00002694,91632,12,7636,A,2014,3,8,2014-03-08,1,home
L00007046,A00010049,91632,12,7636,A,2017,3,28,2017-03-28,1,home
L00005377,A00002116,92400,12,7700,A,2017,8,4,2017-08-04,59,home
L00005413,A00002227,92976,24,3874,A,2015,12,12,2015-12-12,59,home
L00006730,A00008523,93036,12,7753,C,2018,2,15,2018-02-15,1,home
L00006644,A00008039,93600,24,3900,A,2016,10,20,2016-10-20,1,home
L00005523,A00002705,93888,36,2608,A,2013,12,8,2013-12-08,1,home
L00005525,A00002720,93888,36,2608,C,2018,4,27,2018-04-27,1,home
L00005895,A00004473,93960,60,1566,C,2017,1,3,2017-01-03,1,home
L00006562,A00007674,94488,24,3937,C,2017,3,21,2017-03-21,1,home
L00005643,A00003273,94512,12,7876,B,2017,9,21,2017-09-21,59,home
L00006356,A00006701,95400,36,2650,A,2013,12,8,2013-12-08,1,home
L00005464,A00002419,95808,12,7984,A,2015,1,30,2015-01-30,59,home
L00006995,A00009814,96168,12,8014,A,2016,9,26,2016-09-26,1,home
L00005314,A00001787,96396,12,8033,B,2013,7,5,2013-07-05,64,home
L00006421,A00006985,96768,36,2688,C,2016,7,25,2016-07-25,1,home
L00005774,A00003916,96984,36,2694,C,2018,7,12,2018-07-12,1,home
L00005953,A00004715,97176,24,4049,C,2017,3,14,2017-03-14,1,home
L00005877,A00004414,97224,24,4051,A,2015,2,23,2015-02-23,1,home
L00006612,A00007907,97392,12,8116,A,2017,8,31,2017-08-31,1,home
L00006998,A00009833,97632,12,8136,A,2014,5,21,2014-05-21,1,home
L00006677,A00008169,97980,60,1633,C,2017,8,12,2017-08-12,1,home
L00005161,A00001012,98184,24,4091,A,2014,10,28,2014-10-28,64,home
L00007253,A00011079,98304,12,8192,A,2017,4,26,2017-04-26,1,home
L00006157,A00005650,98592,24,4108,A,2015,7,10,2015-07-10,1,home
L00005999,A00004907,98832,48,2059,C,2016,1,3,2016-01-03,1,home
L00006168,A00005698,99216,36,2756,C,2018,11,21,2018-11-21,1,home
L00006665,A00008114,99300,60,1655,C,2017,8,15,2017-08-15,1,home
L00005449,A00002343,99336,24,4139,A,2015,11,4,2015-11-04,59,home
L00005208,A00001247,99696,48,2077,D,2015,3,16,2015-03-16,64,home
L00006469,A00007180,99744,24,4156,C,2018,11,17,2018-11-17,1,home
L00006913,A00009377,99936,24,4164,C,2017,4,29,2017-04-29,1,home
L00005253,A00001447,100080,48,2085,C,2017,6,3,2017-06-03,64,home
L00005862,A00004342,100128,24,4172,C,2017,12,9,2017-12-09,1,home
L00006816,A00009017,100224,48,2088,D,2016,3,26,2016-03-26,1,home
L00006346,A00006649,100260,60,1671,C,2017,5,22,2017-05-22,1,home
L00005817,A00004127,100800,24,4200,D,2017,8,15,2017-08-15,1,home
L00005044,A00000344,100980,60,1683,C,2014,12,21,2014-12-21,70,home
L00005375,A00002106,101520,12,8460,A,2016,10,3,2016-10-03,59,home
L00005110,A00000675,102240,60,1704,C,2017,4,1,2017-04-01,64,home
L00004986,A00000097,102876,12,8573,A,2017,8,10,2017-08-10,1,home
L00006169,A00005700,103680,60,1728,D,2015,3,16,2015-03-16,1,home
L00006950,A00009591,104712,24,4363,A,2015,4,11,2015-04-11,1,home
L00006949,A00009583,104712,24,4363,A,2015,12,12,2015-12-12,1,home
L00005002,A00000173,104808,12,8734,A,2014,5,31,2014-05-31,1,home
L00006320,A00006495,104964,12,8747,C,2018,4,28,2018-04-28,1,home
L00005325,A00001843,105804,36,2939,A,2013,8,3,2013-08-03,64,home
L00005799,A00004052,106128,36,2948,C,2017,12,28,2017-12-28,1,home
L00005940,A00004660,106944,24,4456,C,2017,5,28,2017-05-28,1,home
L00005779,A00003942,107352,36,2982,C,2017,10,14,2017-10-14,1,home
L00005959,A00004727,107640,24,4485,A,2015,8,11,2015-08-11,1,home
L00007259,A00011111,108144,36,3004,A,2014,1,31,2014-01-31,1,home
L00005154,A00000993,108720,60,1812,C,2018,7,1,2018-07-01,64,home
L00005015,A00000226,109344,12,9112,C,2018,7,12,2018-07-12,1,home
L00006015,A00005001,110112,24,4588,A,2016,11,9,2016-11-09,1,home
L00006309,A00006434,110136,24,4589,A,2016,11,11,2016-11-11,1,home
L00006508,A00007437,110736,48,2307,C,2018,4,19,2018-04-19,1,home
L00004968,A00000038,110736,48,2307,C,2018,4,19,2018-04-19,1,home
L00005533,A00002762,111384,24,4641,A,2014,7,5,2014-07-05,29,home
L00005034,A00000303,112752,36,3132,C,2018,5,30,2018-05-30,70,home
L00007091,A00010243,113436,36,3151,C,2018,9,22,2018-09-22,1,home
L00007213,A00010884,113544,36,3154,C,2016,2,13,2016-02-13,1,home
L00006985,A00009731,113796,36,3161,A,2015,11,22,2015-11-22,1,home
L00007233,A00010963,115812,36,3217,C,2016,12,25,2016-12-25,1,home
L00007192,A00010738,115992,36,3222,A,2014,12,21,2014-12-21,1,home
L00006984,A00009730,116040,60,1934,C,2017,8,15,2017-08-15,1,home
L00006353,A00006686,116496,24,4854,C,2017,12,25,2017-12-25,1,home
L00006934,A00009494,116832,12,9736,A,2017,2,9,2017-02-09,1,home
L00005997,A00004894,117024,24,4876,A,2013,11,4,2013-11-04,1,home
L00006076,A00005269,117420,60,1957,C,2017,2,2,2017-02-02,1,home
L00007250,A00011069,119136,48,2482,C,2017,3,4,2017-03-04,1,home
L00006919,A00009403,120888,36,3358,A,2014,8,5,2014-08-05,1,home
L00007061,A00010105,121896,24,5079,A,2014,8,27,2014-08-27,1,home
L00006866,A00009201,122472,24,5103,C,2018,2,5,2018-02-05,1,home
L00005610,A00003112,123216,48,2567,C,2016,2,24,2016-02-24,18,home
L00005260,A00001480,123300,36,3425,C,2018,1,19,2018-01-19,64,home
L00007130,A00010411,123408,24,5142,A,2016,12,11,2016-12-11,1,home
L00006190,A00005794,123600,60,2060,C,2016,5,6,2016-05-06,1,home
