disp_id,client_id,account_id,type
D00000076,C00000076,A00000065,Owner
D00000077,C00000077,A00000066,Owner
D00000078,C00000078,A00000067,Owner
D00000079,C00000079,A00000068,Owner
D00000080,C00000080,A00000069,Owner
D00000081,C00000081,A00000070,Owner
D00000082,C00000082,A00000070,User
D00000083,C00000083,A00000071,Owner
D00000084,C00000084,A00000071,User
D00000085,C00000085,A00000072,Owner
D00000086,C00000086,A00000072,User
D00000087,C00000087,A00000073,Owner
D00000089,C00000089,A00000075,Owner
D00000090,C00000090,A00000076,Owner
D00000091,C00000091,A00000077,Owner
D00000092,C00000092,A00000078,Owner
D00000093,C00000093,A00000079,Owner
D00000094,C00000094,A00000080,Owner
D00000095,C00000095,A00000080,User
D00000096,C00000096,A00000081,Owner
D00000097,C00000097,A00000082,Owner
D00000098,C00000098,A00000083,Owner
D00000099,C00000099,A00000083,User
D00000100,C00000100,A00000084,Owner
D00000101,C00000101,A00000085,Owner
D00000102,C00000102,A00000086,Owner
D00000103,C00000103,A00000086,User
D00000105,C00000105,A00000088,Owner
D00000106,C00000106,A00000089,Owner
D00000107,C00000107,A00000090,Owner
D00000108,C00000108,A00000091,Owner
D00000110,C00000110,A00000093,Owner
D00000112,C00000112,A00000095,Owner
D00000113,C00000113,A00000095,User
D00000114,C00000114,A00000096,Owner
D00000115,C00000115,A00000096,User
D00000116,C00000116,A00000097,Owner
D00000117,C00000117,A00000097,User
D00000118,C00000118,A00000098,Owner
D00000119,C00000119,A00000098,User
D00000120,C00000120,A00000099,Owner
D00000121,C00000121,A00000100,Owner
D00000122,C00000122,A00000101,Owner
D00000123,C00000123,A00000102,Owner
D00000124,C00000124,A00000103,Owner
D00000125,C00000125,A00000104,Owner
D00000126,C00000126,A00000104,User
D00000127,C00000127,A00000105,Owner
D00000128,C00000128,A00000106,Owner
D00000129,C00000129,A00000107,Owner
D00000130,C00000130,A00000108,Owner
D00000131,C00000131,A00000109,Owner
D00000132,C00000132,A00000110,Owner
D00000134,C00000134,A00000112,Owner
D00000135,C00000135,A00000112,User
D00000136,C00000136,A00000113,Owner
D00000137,C00000137,A00000114,Owner
D00000138,C00000138,A00000115,Owner
D00000139,C00000139,A00000116,Owner
D00000140,C00000140,A00000116,User
D00000141,C00000141,A00000117,Owner
D00000142,C00000142,A00000118,Owner
D00000143,C00000143,A00000119,Owner
D00000144,C00000144,A00000120,Owner
D00000145,C00000145,A00000121,Owner
D00000146,C00000146,A00000122,Owner
D00000147,C00000147,A00000123,Owner
D00000148,C00000148,A00000123,User
D00000149,C00000149,A00000124,Owner
D00000150,C00000150,A00000125,Owner
D00000151,C00000151,A00000126,Owner
D00000152,C00000152,A00000127,Owner
D00000153,C00000153,A00000128,Owner
D00000154,C00000154,A00000129,Owner
D00000155,C00000155,A00000129,User
D00000156,C00000156,A00000130,Owner
D00000157,C00000157,A00000131,Owner
D00000158,C00000158,A00000132,Owner
D00000159,C00000159,A00000132,User
D00000160,C00000160,A00000133,Owner
D00000161,C00000161,A00000134,Owner
D00000162,C00000162,A00000135,Owner
D00000163,C00000163,A00000136,Owner
D00000164,C00000164,A00000137,Owner
D00000165,C00000165,A00000138,Owner
D00000166,C00000166,A00000138,User
D00000167,C00000167,A00000139,Owner
D00000168,C00000168,A00000140,Owner
D00000169,C00000169,A00000141,Owner
D00000170,C00000170,A00000141,User
D00000171,C00000171,A00000142,Owner
D00000172,C00000172,A00000142,User
D00000173,C00000173,A00000143,Owner
D00000174,C00000174,A00000144,Owner
D00000175,C00000175,A00000145,Owner
D00000176,C00000176,A00000146,Owner
D00000178,C00000178,A00000148,Owner
D00000179,C00000179,A00000149,Owner
D00000180,C00000180,A00000150,Owner
D00000181,C00000181,A00000151,Owner
D00000182,C00000182,A00000151,User
D00000183,C00000183,A00000152,Owner
D00000184,C00000184,A00000152,User
D00000185,C00000185,A00000153,Owner
D00000186,C00000186,A00000154,Owner
D00000187,C00000187,A00000155,Owner
D00000188,C00000188,A00000156,Owner
D00000189,C00000189,A00000157,Owner
D00000190,C00000190,A00000158,Owner
D00000191,C00000191,A00000158,User
D00000192,C00000192,A00000159,Owner
D00000193,C00000193,A00000160,Owner
D00000194,C00000194,A00000161,Owner
D00000195,C00000195,A00000162,Owner
D00000196,C00000196,A00000162,User
D00000197,C00000197,A00000163,Owner
D00000198,C00000198,A00000164,Owner
D00000199,C00000199,A00000165,Owner
D00000200,C00000200,A00000165,User
D00000201,C00000201,A00000166,Owner
D00000202,C00000202,A00000167,Owner
D00000203,C00000203,A00000168,Owner
D00000204,C00000204,A00000168,User
D00000205,C00000205,A00000169,Owner
D00000206,C00000206,A00000170,Owner
D00000207,C00000207,A00000171,Owner
D00000208,C00000208,A00000172,Owner
D00000209,C00000209,A00000172,User
D00000210,C00000210,A00000173,Owner
D00000211,C00000211,A00000173,User
D00000212,C00000212,A00000174,Owner
D00000215,C00000215,A00000176,Owner
D00000216,C00000216,A00000177,Owner
D00000217,C00000217,A00000178,Owner
D00000218,C00000218,A00000179,Owner
D00000219,C00000219,A00000180,Owner
D00000221,C00000221,A00000181,Owner
D00000222,C00000222,A00000182,Owner
D00000223,C00000223,A00000183,Owner
D00000224,C00000224,A00000184,Owner
D00000225,C00000225,A00000185,Owner
D00000226,C00000226,A00000186,Owner
D00000227,C00000227,A00000187,Owner
D00000228,C00000228,A00000188,Owner
D00000229,C00000229,A00000189,Owner
D00000230,C00000230,A00000190,Owner
D00000231,C00000231,A00000191,Owner
D00000232,C00000232,A00000192,Owner
D00000233,C00000233,A00000193,Owner
D00000234,C00000234,A00000193,User
D00000235,C00000235,A00000194,Owner
D00000236,C00000236,A00000195,Owner
D00000237,C00000237,A00000195,User
D00000238,C00000238,A00000196,Owner
D00000239,C00000239,A00000197,Owner
D00000240,C00000240,A00000198,Owner
D00000241,C00000241,A00000199,Owner
D00000242,C00000242,A00000200,Owner
D00000243,C00000243,A00000201,Owner
D00000246,C00000246,A00000204,Owner
D00000247,C00000247,A00000205,Owner
D00000248,C00000248,A00000206,Owner
D00000249,C00000249,A00000206,User
D00000250,C00000250,A00000207,Owner
D00000251,C00000251,A00000208,Owner
D00000252,C00000252,A00000209,Owner
D00000253,C00000253,A00000210,Owner
D00000254,C00000254,A00000211,Owner
D00000255,C00000255,A00000212,Owner
D00000256,C00000256,A00000213,Owner
D00000257,C00000257,A00000214,Owner
D00000258,C00000258,A00000214,User
D00000259,C00000259,A00000215,Owner
D00000260,C00000260,A00000215,User
D00000261,C00000261,A00000216,Owner
D00000262,C00000262,A00000217,Owner
D00000263,C00000263,A00000218,Owner
D00000264,C00000264,A00000219,Owner
D00000265,C00000265,A00000220,Owner
D00000266,C00000266,A00000221,Owner
D00000267,C00000267,A00000222,Owner
D00000268,C00000268,A00000223,Owner
D00000269,C00000269,A00000224,Owner
D00000270,C00000270,A00000225,Owner
D00000271,C00000271,A00000225,User
D00000272,C00000272,A00000226,Owner
D00000273,C00000273,A00000227,Owner
D00000274,C00000274,A00000228,Owner
D00000275,C00000275,A00000229,Owner
D00000276,C00000276,A00000230,Owner
D00000277,C00000277,A00000230,User
D00000278,C00000278,A00000231,Owner
D00000279,C00000279,A00000231,User
D00000280,C00000280,A00000232,Owner
D00000282,C00000282,A00000234,Owner
D00000283,C00000283,A00000234,User
D00000284,C00000284,A00000235,Owner
D00000285,C00000285,A00000236,Owner
D00000286,C00000286,A00000236,User
D00000287,C00000287,A00000237,Owner
D00000288,C00000288,A00000238,Owner
D00000289,C00000289,A00000239,Owner
D00000290,C00000290,A00000240,Owner
D00000291,C00000291,A00000240,User
D00000292,C00000292,A00000241,Owner
D00000293,C00000293,A00000242,Owner
D00000294,C00000294,A00000243,Owner
D00000295,C00000295,A00000244,Owner
D00000296,C00000296,A00000245,Owner
D00000297,C00000297,A00000246,Owner
D00000298,C00000298,A00000246,User
D00000300,C00000300,A00000248,Owner
D00000301,C00000301,A00000249,Owner
D00000302,C00000302,A00000250,Owner
D00000303,C00000303,A00000251,Owner
D00000304,C00000304,A00000252,Owner
D00000305,C00000305,A00000253,Owner
D00000308,C00000308,A00000255,Owner
D00000309,C00000309,A00000256,Owner
D00000310,C00000310,A00000257,Owner
D00000311,C00000311,A00000258,Owner
D00000312,C00000312,A00000259,Owner
D00000313,C00000313,A00000260,Owner
D00000314,C00000314,A00000260,User
D00000315,C00000315,A00000261,Owner
D00000316,C00000316,A00000262,Owner
D00000317,C00000317,A00000263,Owner
D00000318,C00000318,A00000264,Owner
D00000319,C00000319,A00000265,Owner
D00000320,C00000320,A00000265,User
D00000321,C00000321,A00000266,Owner
D00000322,C00000322,A00000267,Owner
D00000323,C00000323,A00000267,User
D00000324,C00000324,A00000268,Owner
D00000325,C00000325,A00000269,Owner
D00000326,C00000326,A00000270,Owner
D00000327,C00000327,A00000270,User
D00000328,C00000328,A00000271,Owner
D00000329,C00000329,A00000272,Owner
D00000330,C00000330,A00000273,Owner
D00000331,C00000331,A00000274,Owner
D00000332,C00000332,A00000275,Owner
D00000333,C00000333,A00000276,Owner
D00000334,C00000334,A00000277,Owner
D00000335,C00000335,A00000278,Owner
D00000336,C00000336,A00000279,Owner
D00000337,C00000337,A00000279,User
D00000338,C00000338,A00000280,Owner
D00000339,C00000339,A00000281,Owner
D00000340,C00000340,A00000281,User
D00000341,C00000341,A00000282,Owner
D00000342,C00000342,A00000282,User
D00000343,C00000343,A00000283,Owner
D00000344,C00000344,A00000284,Owner
D00000345,C00000345,A00000285,Owner
D00000346,C00000346,A00000285,User
D00000347,C00000347,A00000286,Owner
D00000348,C00000348,A00000286,User
D00000349,C00000349,A00000287,Owner
D00000350,C00000350,A00000288,Owner
D00000351,C00000351,A00000289,Owner
D00000352,C00000352,A00000290,Owner
D00000353,C00000353,A00000291,Owner
D00000354,C00000354,A00000292,Owner
D00000355,C00000355,A00000292,User
D00000356,C00000356,A00000293,Owner
D00000357,C00000357,A00000293,User
D00000358,C00000358,A00000294,Owner
D00000359,C00000359,A00000295,Owner
D00000360,C00000360,A00000296,Owner
D00000361,C00000361,A00000297,Owner
D00000362,C00000362,A00000298,Owner
D00000363,C00000363,A00000298,User
D00000364,C00000364,A00000299,Owner
D00000365,C00000365,A00000300,Owner
D00000366,C00000366,A00000300,User
D00000367,C00000367,A00000301,Owner
D00000368,C00000368,A00000301,User
D00000369,C00000369,A00000302,Owner
D00000370,C00000370,A00000303,Owner
D00000371,C00000371,A00000304,Owner
D00000372,C00000372,A00000305,Owner
D00000373,C00000373,A00000306,Owner
D00000374,C00000374,A00000307,Owner
D00000375,C00000375,A00000308,Owner
D00000376,C00000376,A00000309,Owner
D00000378,C00000378,A00000311,Owner
D00000379,C00000379,A00000311,User
D00000380,C00000380,A00000312,Owner
D00000381,C00000381,A00000313,Owner
D00000382,C00000382,A00000313,User
D00000383,C00000383,A00000314,Owner
D00000384,C00000384,A00000314,User
D00000385,C00000385,A00000315,Owner
D00000386,C00000386,A00000316,Owner
D00000387,C00000387,A00000317,Owner
D00000388,C00000388,A00000318,Owner
D00000389,C00000389,A00000319,Owner
D00000390,C00000390,A00000320,Owner
D00000391,C00000391,A00000321,Owner
D00000392,C00000392,A00000322,Owner
D00000393,C00000393,A00000322,User
D00000394,C00000394,A00000323,Owner
D00000395,C00000395,A00000323,User
D00000396,C00000396,A00000324,Owner
D00000397,C00000397,A00000325,Owner
D00000398,C00000398,A00000326,Owner
D00000399,C00000399,A00000327,Owner
D00000400,C00000400,A00000328,Owner
D00000401,C00000401,A00000328,User
D00000402,C00000402,A00000329,Owner
D00000403,C00000403,A00000330,Owner
D00000404,C00000404,A00000330,User
D00000405,C00000405,A00000331,Owner
D00000406,C00000406,A00000332,Owner
D00000407,C00000407,A00000333,Owner
D00000408,C00000408,A00000334,Owner
D00000409,C00000409,A00000335,Owner
D00000410,C00000410,A00000336,Owner
D00000411,C00000411,A00000337,Owner
D00000412,C00000412,A00000337,User
D00000413,C00000413,A00000338,Owner
D00000414,C00000414,A00000339,Owner
D00000415,C00000415,A00000339,User
D00000416,C00000416,A00000340,Owner
D00000417,C00000417,A00000340,User
D00000418,C00000418,A00000341,Owner
D00000419,C00000419,A00000342,Owner
D00000420,C00000420,A00000343,Owner
D00000421,C00000421,A00000344,Owner
D00000422,C00000422,A00000345,Owner
D00000423,C00000423,A00000346,Owner
D00000424,C00000424,A00000347,Owner
D00000425,C00000425,A00000348,Owner
D00000426,C00000426,A00000349,Owner
D00000427,C00000427,A00000349,User
D00000428,C00000428,A00000350,Owner
D00000429,C00000429,A00000351,Owner
D00000430,C00000430,A00000352,Owner
D00000431,C00000431,A00000353,Owner
D00000432,C00000432,A00000354,Owner
D00000433,C00000433,A00000355,Owner
D00000434,C00000434,A00000356,Owner
D00000435,C00000435,A00000357,Owner
D00000436,C00000436,A00000358,Owner
D00000437,C00000437,A00000359,Owner
D00000438,C00000438,A00000360,Owner
D00000439,C00000439,A00000361,Owner
D00000440,C00000440,A00000362,Owner
D00000441,C00000441,A00000363,Owner
D00000442,C00000442,A00000364,Owner
D00000443,C00000443,A00000364,User
D00000444,C00000444,A00000365,Owner
D00000445,C00000445,A00000366,Owner
D00000446,C00000446,A00000366,User
D00000447,C00000447,A00000367,Owner
D00000448,C00000448,A00000368,Owner
D00000450,C00000450,A00000370,Owner
D00000451,C00000451,A00000371,Owner
D00000452,C00000452,A00000372,Owner
D00000453,C00000453,A00000373,Owner
D00000454,C00000454,A00000374,Owner
D00000455,C00000455,A00000375,Owner
D00000456,C00000456,A00000376,Owner
D00000457,C00000457,A00000377,Owner
D00000458,C00000458,A00000378,Owner
D00000459,C00000459,A00000379,Owner
D00000461,C00000461,A00000381,Owner
D00000462,C00000462,A00000382,Owner
D00000463,C00000463,A00000383,Owner
D00000464,C00000464,A00000384,Owner
D00000465,C00000465,A00000385,Owner
D00000466,C00000466,A00000386,Owner
D00000467,C00000467,A00000386,User
D00000468,C00000468,A00000387,Owner
D00000469,C00000469,A00000388,Owner
D00000470,C00000470,A00000389,Owner
D00000471,C00000471,A00000390,Owner
D00000472,C00000472,A00000391,Owner
D00000473,C00000473,A00000392,Owner
D00000474,C00000474,A00000393,Owner
D00000476,C00000476,A00000395,Owner
D00000477,C00000477,A00000395,User
D00000478,C00000478,A00000396,Owner
D00000479,C00000479,A00000397,Owner
D00000480,C00000480,A00000397,User
D00000481,C00000481,A00000398,Owner
D00000482,C00000482,A00000398,User
D00000483,C00000483,A00000399,Owner
D00000484,C00000484,A00000400,Owner
D00000485,C00000485,A00000401,Owner
D00000486,C00000486,A00000402,Owner
D00000487,C00000487,A00000403,Owner
D00000488,C00000488,A00000403,User
D00000489,C00000489,A00000404,Owner
D00000490,C00000490,A00000405,Owner
D00000491,C00000491,A00000406,Owner
D00000492,C00000492,A00000407,Owner
D00000493,C00000493,A00000408,Owner
D00000494,C00000494,A00000409,Owner
D00000495,C00000495,A00000410,Owner
D00000496,C00000496,A00000411,Owner
D00000497,C00000497,A00000412,Owner
D00000498,C00000498,A00000412,User
D00000499,C00000499,A00000413,Owner
D00000500,C00000500,A00000414,Owner
D00000501,C00000501,A00000415,Owner
D00000502,C00000502,A00000416,Owner
D00000503,C00000503,A00000417,Owner
D00000504,C00000504,A00000418,Owner
D00000505,C00000505,A00000419,Owner
D00000506,C00000506,A00000420,Owner
D00000507,C00000507,A00000421,Owner
D00000508,C00000508,A00000422,Owner
D00000509,C00000509,A00000423,Owner
D00000510,C00000510,A00000424,Owner
D00000511,C00000511,A00000425,Owner
D00000512,C00000512,A00000426,Owner
D00000513,C00000513,A00000427,Owner
D00000514,C00000514,A00000427,User
D00000515,C00000515,A00000428,Owner
D00000516,C00000516,A00000428,User
D00000517,C00000517,A00000429,Owner
D00000518,C00000518,A00000430,Owner
D00000519,C00000519,A00000431,Owner
D00000520,C00000520,A00000432,Owner
D00000521,C00000521,A00000433,Owner
D00000522,C00000522,A00000434,Owner
D00000523,C00000523,A00000435,Owner
D00000524,C00000524,A00000436,Owner
D00000525,C00000525,A00000436,User
D00000526,C00000526,A00000437,Owner
D00000527,C00000527,A00000437,User
D00000528,C00000528,A00000438,Owner
D00000529,C00000529,A00000439,Owner
D00000530,C00000530,A00000440,Owner
D00000531,C00000531,A00000441,Owner
D00000532,C00000532,A00000441,User
D00000533,C00000533,A00000442,Owner
D00000534,C00000534,A00000443,Owner
D00000535,C00000535,A00000444,Owner
D00000536,C00000536,A00000445,Owner
D00000537,C00000537,A00000446,Owner
D00000538,C00000538,A00000447,Owner
D00000540,C00000540,A00000449,Owner
D00000541,C00000541,A00000449,User
D00000542,C00000542,A00000450,Owner
D00000543,C00000543,A00000451,Owner
D00000544,C00000544,A00000452,Owner
D00000545,C00000545,A00000453,Owner
D00000546,C00000546,A00000454,Owner
D00000547,C00000547,A00000455,Owner
D00000548,C00000548,A00000456,Owner
D00000550,C00000550,A00000458,Owner
D00000551,C00000551,A00000459,Owner
D00000552,C00000552,A00000460,Owner
D00000553,C00000553,A00000460,User
D00000554,C00000554,A00000461,Owner
D00000555,C00000555,A00000461,User
D00000556,C00000556,A00000462,Owner
D00000557,C00000557,A00000463,Owner
D00000558,C00000558,A00000464,Owner
D00000559,C00000559,A00000465,Owner
D00000560,C00000560,A00000466,Owner
D00000561,C00000561,A00000467,Owner
D00000562,C00000562,A00000468,Owner
D00000563,C00000563,A00000469,Owner
D00000564,C00000564,A00000469,User
D00000565,C00000565,A00000470,Owner
D00000566,C00000566,A00000471,Owner
D00000567,C00000567,A00000471,User
D00000568,C00000568,A00000472,Owner
D00000569,C00000569,A00000473,Owner
D00000570,C00000570,A00000474,Owner
D00000571,C00000571,A00000475,Owner
D00000572,C00000572,A00000475,User
D00000573,C00000573,A00000476,Owner
D00000574,C00000574,A00000477,Owner
D00000575,C00000575,A00000478,Owner
D00000576,C00000576,A00000478,User
D00000577,C00000577,A00000479,Owner
D00000578,C00000578,A00000480,Owner
D00000579,C00000579,A00000481,Owner
D00000581,C00000581,A00000483,Owner
D00000582,C00000582,A00000484,Owner
D00000583,C00000583,A00000485,Owner
D00000584,C00000584,A00000486,Owner
D00000585,C00000585,A00000487,Owner
D00000586,C00000586,A00000487,User
D00000587,C00000587,A00000488,Owner
D00000588,C00000588,A00000489,Owner
D00000589,C00000589,A00000490,Owner
D00000590,C00000590,A00000491,Owner
D00000591,C00000591,A00000492,Owner
D00000592,C00000592,A00000493,Owner
D00000593,C00000593,A00000494,Owner
D00000596,C00000596,A00000496,Owner
D00000597,C00000597,A00000497,Owner
D00000598,C00000598,A00000498,Owner
D00000599,C00000599,A00000498,User
D00000601,C00000601,A00000500,Owner
D00000602,C00000602,A00000500,User
D00000603,C00000603,A00000501,Owner
D00000604,C00000604,A00000502,Owner
D00000605,C00000605,A00000503,Owner
D00000606,C00000606,A00000504,Owner
D00000607,C00000607,A00000505,Owner
D00000608,C00000608,A00000506,Owner
D00000609,C00000609,A00000507,Owner
D00000610,C00000610,A00000508,Owner
D00000611,C00000611,A00000509,Owner
D00000612,C00000612,A00000509,User
D00000613,C00000613,A00000510,Owner
D00000614,C00000614,A00000511,Owner
D00000615,C00000615,A00000512,Owner
D00000616,C00000616,A00000513,Owner
D00000617,C00000617,A00000514,Owner
D00000618,C00000618,A00000515,Owner
D00000619,C00000619,A00000516,Owner
D00000620,C00000620,A00000516,User
D00000621,C00000621,A00000517,Owner
D00000622,C00000622,A00000518,Owner
D00000623,C00000623,A00000519,Owner
D00000624,C00000624,A00000519,User
D00000625,C00000625,A00000520,Owner
D00000626,C00000626,A00000521,Owner
D00000627,C00000627,A00000522,Owner
D00000628,C00000628,A00000522,User
D00000629,C00000629,A00000523,Owner
D00000630,C00000630,A00000524,Owner
D00000631,C00000631,A00000525,Owner
D00000632,C00000632,A00000526,Owner
D00000633,C00000633,A00000526,User
D00000635,C00000635,A00000528,Owner
D00000636,C00000636,A00000528,User
D00000637,C00000637,A00000529,Owner
D00000638,C00000638,A00000530,Owner
D00000639,C00000639,A00000531,Owner
D00000640,C00000640,A00000532,Owner
D00000641,C00000641,A00000533,Owner
D00000642,C00000642,A00000533,User
D00000643,C00000643,A00000534,Owner
D00000644,C00000644,A00000535,Owner
D00000645,C00000645,A00000536,Owner
D00000646,C00000646,A00000537,Owner
D00000647,C00000647,A00000537,User
D00000648,C00000648,A00000538,Owner
D00000649,C00000649,A00000539,Owner
D00000651,C00000651,A00000540,Owner
D00000652,C00000652,A00000541,Owner
D00000653,C00000653,A00000542,Owner
D00000654,C00000654,A00000543,Owner
D00000655,C00000655,A00000544,Owner
D00000656,C00000656,A00000545,Owner
D00000657,C00000657,A00000546,Owner
D00000658,C00000658,A00000546,User
D00000659,C00000659,A00000547,Owner
D00000660,C00000660,A00000548,Owner
D00000661,C00000661,A00000548,User
D00000662,C00000662,A00000549,Owner
D00000663,C00000663,A00000550,Owner
D00000664,C00000664,A00000551,Owner
D00000665,C00000665,A00000552,Owner
D00000666,C00000666,A00000553,Owner
D00000667,C00000667,A00000554,Owner
D00000668,C00000668,A00000555,Owner
D00000669,C00000669,A00000556,Owner
D00000670,C00000670,A00000557,Owner
D00000671,C00000671,A00000558,Owner
D00000672,C00000672,A00000559,Owner
D00000673,C00000673,A00000560,Owner
D00000674,C00000674,A00000561,Owner
D00000675,C00000675,A00000562,Owner
D00000676,C00000676,A00000563,Owner
D00000677,C00000677,A00000564,Owner
D00000678,C00000678,A00000565,Owner
D00000679,C00000679,A00000566,Owner
D00000680,C00000680,A00000566,User
D00000681,C00000681,A00000567,Owner
D00000682,C00000682,A00000568,Owner
D00000683,C00000683,A00000569,Owner
D00000684,C00000684,A00000570,Owner
D00000685,C00000685,A00000571,Owner
D00000686,C00000686,A00000572,Owner
D00000687,C00000687,A00000572,User
D00000688,C00000688,A00000573,Owner
D00000689,C00000689,A00000574,Owner
D00000690,C00000690,A00000575,Owner
D00000691,C00000691,A00000575,User
D00000692,C00000692,A00000576,Owner
D00000693,C00000693,A00000576,User
D00000694,C00000694,A00000577,Owner
D00000695,C00000695,A00000578,Owner
D00000696,C00000696,A00000578,User
D00000697,C00000697,A00000579,Owner
D00000698,C00000698,A00000580,Owner
D00000699,C00000699,A00000581,Owner
D00000700,C00000700,A00000582,Owner
D00000702,C00000702,A00000584,Owner
D00000703,C00000703,A00000585,Owner
D00000704,C00000704,A00000586,Owner
D00000705,C00000705,A00000587,Owner
D00000706,C00000706,A00000588,Owner
D00000707,C00000707,A00000589,Owner
D00000708,C00000708,A00000590,Owner
D00000709,C00000709,A00000591,Owner
D00000710,C00000710,A00000592,Owner
D00000711,C00000711,A00000593,Owner
D00000712,C00000712,A00000594,Owner
D00000713,C00000713,A00000595,Owner
D00000714,C00000714,A00000596,Owner
D00000715,C00000715,A00000597,Owner
D00000716,C00000716,A00000598,Owner
D00000717,C00000717,A00000599,Owner
D00000718,C00000718,A00000599,User
D00000719,C00000719,A00000600,Owner
D00000720,C00000720,A00000601,Owner
D00000721,C00000721,A00000602,Owner
D00000722,C00000722,A00000603,Owner
D00000723,C00000723,A00000604,Owner
D00000724,C00000724,A00000605,Owner
D00000725,C00000725,A00000606,Owner
D00000726,C00000726,A00000607,Owner
D00000727,C00000727,A00000608,Owner
D00000728,C00000728,A00000608,User
D00000729,C00000729,A00000609,Owner
D00000730,C00000730,A00000609,User
D00000731,C00000731,A00000610,Owner
D00000732,C00000732,A00000610,User
D00000733,C00000733,A00000611,Owner
D00000734,C00000734,A00000611,User
D00000735,C00000735,A00000612,Owner
D00000736,C00000736,A00000612,User
D00000737,C00000737,A00000613,Owner
D00000738,C00000738,A00000614,Owner
D00000739,C00000739,A00000615,Owner
D00000740,C00000740,A00000616,Owner
D00000741,C00000741,A00000617,Owner
D00000742,C00000742,A00000618,Owner
D00000743,C00000743,A00000619,Owner
D00000744,C00000744,A00000620,Owner
D00000745,C00000745,A00000621,Owner
D00000746,C00000746,A00000621,User
D00000747,C00000747,A00000622,Owner
D00000748,C00000748,A00000623,Owner
D00000749,C00000749,A00000623,User
D00000750,C00000750,A00000624,Owner
D00000751,C00000751,A00000625,Owner
D00000752,C00000752,A00000626,Owner
D00000753,C00000753,A00000626,User
D00000754,C00000754,A00000627,Owner
D00000755,C00000755,A00000628,Owner
D00000756,C00000756,A00000629,Owner
D00000757,C00000757,A00000630,Owner
D00000758,C00000758,A00000631,Owner
D00000759,C00000759,A00000632,Owner
D00000760,C00000760,A00000633,Owner
D00000762,C00000762,A00000635,Owner
D00000763,C00000763,A00000636,Owner
D00000764,C00000764,A00000637,Owner
D00000765,C00000765,A00000638,Owner
D00000766,C00000766,A00000639,Owner
D00000767,C00000767,A00000639,User
D00000768,C00000768,A00000640,Owner
D00000769,C00000769,A00000641,Owner
D00000772,C00000772,A00000643,Owner
D00000773,C00000773,A00000644,Owner
D00000774,C00000774,A00000645,Owner
D00000775,C00000775,A00000646,Owner
D00000776,C00000776,A00000647,Owner
D00000777,C00000777,A00000647,User
D00000778,C00000778,A00000648,Owner
D00000779,C00000779,A00000649,Owner
D00000780,C00000780,A00000650,Owner
D00000781,C00000781,A00000651,Owner
D00000782,C00000782,A00000652,Owner
D00000783,C00000783,A00000653,Owner
